Sample, Channel 7
0, 0
84671736, 1
84671738, 0
84671739, 1
84671741, 0
84671742, 1
84671743, 0
84671765, 1
84671766, 0
84671767, 1
84671768, 0
84673028, 1
84673029, 0
84673044, 1
84673045, 0
84673070, 1
84673071, 0
84673075, 1
84673076, 0
84673078, 1
84673079, 0
84673081, 1
84673082, 0
84673086, 1
84673087, 0
84673107, 1
84673108, 0
84673131, 1
84673132, 0
84673246, 1
84673247, 0
84713602, 1
84713603, 0
84923781, 1
84924779, 0
84945952, 1
84945953, 0
89346978, 1
89347004, 0
89347026, 1
89347052, 0
589759417, 1
589759418, 0
726169265, 1
726169290, 0
726170201, 1
726170251, 0
726170657, 1
726170706, 0
726170729, 1
726170754, 0
726171089, 1
726171115, 0
726171137, 1
726171163, 0
726171545, 1
726171571, 0
727616848, 1
727616874, 0
727616896, 1
727616922, 0
826807414, 1
826807440, 0
826810967, 1
826811065, 0
826811159, 1
826811185, 0
826811351, 1
826811377, 0
826811423, 1
826811521, 0
826811522, 1
826811545, 0
826811567, 1
826811593, 0
826812144, 1
826812241, 0
826812336, 1
826812361, 0
826812456, 1
826812481, 0
826812506, 1
826812529, 0
826812552, 1
826812577, 0
826812600, 1
826812697, 0
826812698, 1
826812721, 0
826812864, 1
826812890, 0
826813440, 1
826813538, 0
826813560, 1
826813586, 0
828013630, 1
828013728, 0
828013822, 1
828013848, 0
828013942, 1
828013968, 0
828013993, 1
828014040, 0
828014206, 1
828014232, 0
828014254, 1
828014280, 0
828014326, 1
828014352, 0
828014926, 1
828015024, 0
828015118, 1
828015144, 0
828015359, 1
828015384, 0
828015455, 1
828015480, 0
828015481, 1
828015504, 0
828015527, 1
828015576, 0
828015623, 1
828015672, 0
830181909, 1
830182007, 0
830182029, 1
830182055, 0
830182272, 1
830182295, 0
831816533, 1
831816607, 0
831816725, 1
831816751, 0
831816965, 1
831816991, 0
831817061, 1
831817111, 0
831817133, 1
831817183, 0
831817229, 1
831817279, 0
831817471, 1
831817495, 0
832255384, 1
832255410, 0
